کد بررسی,دمای هوای اطراف ماشین (کلوین),دمای فرآیند (کلوین),سرعت چرخش اجزای ماشین (دور در دقیقه),گشتاور ماشین (نیوتون متر),مدت زمان سایش ابزار (دقیقه),وضعیت خرابی,نوع خرابی
1,298.1,308.6,1551,42.8,0,0,No Failure
2,298.2,308.7,1408,46.3,3,0,No Failure
3,298.1,308.5,1498,49.4,5,0,No Failure
4,298.2,308.6,1433,39.5,7,0,No Failure
5,298.2,308.7,1408,40,9,0,No Failure
6,298.1,308.6,1425,41.9,11,0,No Failure
7,298.1,308.6,1558,42.4,14,0,No Failure
8,298.1,308.6,1527,40.2,16,0,No Failure
9,298.3,308.7,1667,28.6,18,0,No Failure
10,298.5,309,1741,28,21,0,No Failure
11,298.4,308.9,1782,23.9,24,0,No Failure
12,298.6,309.1,1423,44.3,29,0,No Failure
13,298.6,309.1,1339,51.1,34,0,No Failure
14,298.6,309.2,1742,30,37,0,No Failure
15,298.6,309.2,2035,19.6,40,0,No Failure
16,298.6,309.2,1542,48.4,42,0,No Failure
17,298.6,309.2,1311,46.6,44,0,No Failure
18,298.7,309.2,1410,45.6,47,0,No Failure
19,298.8,309.2,1306,54.5,50,0,No Failure
20,298.9,309.3,1632,32.5,55,0,No Failure
21,298.9,309.3,1375,42.7,58,0,No Failure
22,298.8,309.3,1450,44.8,63,0,No Failure
23,298.9,309.3,1581,30.7,65,0,No Failure
24,299,309.4,1758,25.7,68,0,No Failure
25,299,309.4,1561,37.3,70,0,No Failure
26,299,309.5,1861,23.3,73,0,No Failure
27,299.1,309.5,1512,39,75,0,No Failure
28,299.1,309.4,1811,24.6,77,0,No Failure
29,299.1,309.4,1439,44.2,82,0,No Failure
30,299,309.4,1693,30.1,84,0,No Failure
31,299.1,309.5,1339,48.2,86,0,No Failure
32,299,309.4,1798,25.5,89,0,No Failure
33,299,309.4,1419,48.3,91,0,No Failure
34,298.9,309.3,1665,32.5,93,0,No Failure
35,298.8,309.1,1559,34.7,95,0,No Failure
